fips,state,county,cattle_sold,slaughter_sold
01001,AL,AUTAUGA,7880.0,
01003,AL,BALDWIN,8960.0,
01005,AL,BARBOUR,16829.0,
01007,AL,BIBB,2306.0,
01009,AL,BLOUNT,14059.0,
01011,AL,BULLOCK,4776.0,
01013,AL,BUTLER,8085.0,
01015,AL,CALHOUN,6226.0,
01017,AL,CHAMBERS,23754.0,
01019,AL,CHEROKEE,4928.0,
01021,AL,CHILTON,7304.0,
01023,AL,CHOCTAW,2281.0,
01025,AL,CLARKE,1719.0,
01027,AL,CLAY,9195.0,
01029,AL,CLEBURNE,5920.0,
01031,AL,COFFEE,17253.0,
01033,AL,COLBERT,5206.0,
01035,AL,CONECUH,7082.0,
01037,AL,COOSA,1248.0,
01039,AL,COVINGTON,17436.0,
01041,AL,CRENSHAW,16527.0,
01043,AL,CULLMAN,25184.0,
01045,AL,DALE,7313.0,
01047,AL,DALLAS,15912.0,
01049,AL,DE KALB,28870.0,
01051,AL,ELMORE,3859.0,
01053,AL,ESCAMBIA,4607.0,
01055,AL,ETOWAH,10456.0,
01057,AL,FAYETTE,2307.0,
01059,AL,FRANKLIN,10359.0,
01061,AL,GENEVA,16607.0,
01063,AL,GREENE,3955.0,
01065,AL,HALE,14715.0,
01067,AL,HENRY,6431.0,
01069,AL,HOUSTON,12470.0,
01071,AL,JACKSON,18489.0,
01073,AL,JEFFERSON,2006.0,
01075,AL,LAMAR,1978.0,
01077,AL,LAUDERDALE,10548.0,
01079,AL,LAWRENCE,16635.0,
01081,AL,LEE,3239.0,
01083,AL,LIMESTONE,12654.0,
01085,AL,LOWNDES,19992.0,
01087,AL,MACON,3421.0,
01089,AL,MADISON,5737.0,
01091,AL,MARENGO,14640.0,
01093,AL,MARION,6363.0,
01095,AL,MARSHALL,17332.0,
01097,AL,MOBILE,9978.0,
01099,AL,MONROE,7243.0,
01101,AL,MONTGOMERY,24332.0,
01103,AL,MORGAN,12677.0,
01105,AL,PERRY,6767.0,
